Date,Plot,Replicate,Species,Count
1/15/19,RT,T1,POAN,3
1/15/19,WT2,U2,LACO,2
1/15/19,WT2,U3,LACO,2
1/15/19,WT1,T2,BAPI,1
1/15/19,WT1,U1,BAPI,1
1/15/19,PH1,U0,SIBE,1
1/15/19,WT2,U2,LACO,1
1/15/19,TP,U0,ERBO,1
1/15/19,CS,C2,POMO,3
1/15/19,CS,C2,SYSU,1
1/15/19,CS,C1,POMO,1
1/15/19,TP,T1,POMO,1
1/14/19,MS,U2,FEPE,2
1/14/19,WT2,T2,SYSU,1
1/14/19,WT2,T3,SYSU,1
1/14/19,WT2,T2,JUBU,4
1/14/19,WT2,U1,POTE,2
1/14/19,PH1,T3,BAPI,1
1/14/19,PH1,T3,LOGA,1
1/15/19,RT,T1,POMO,23
1/15/19,RT,T1,LOGA,1
1/15/19,RT,T1,JUBU,5
1/15/19,PH1,T0,JUBU,5
1/15/19,PH1,U0,SPSP,1
1/15/19,PH1,U0,FEPE,1
1/15/19,PH1,T2,POMO,3
1/15/19,WT1,U2,JUBU,1
1/15/19,WT2,T3,SPSP,3
1/15/19,WT2,T3,JUBU,4
1/15/19,WT2,T1,JUBU,1
1/15/19,RT,C2,POMO,5
1/15/19,RT,C2,SPSP,1
1/15/19,RT,C1,POMO,1
1/15/19,RT,C1,JUBU,1
1/15/19,WT2,T3,POMO,1
1/15/19,WT2,U3,POMO,3
1/15/19,WT2,U2,FEPE,1
1/15/19,TP,T3,POMO,5
1/15/19,TP,T0,POMO,4
1/15/19,CS,T3,POMO,1
1/15/19,CS,T1,POMO,1
1/15/19,MS,T3,POMO,3
1/15/19,MS,T1,POMO,1
1/15/19,MS,T1,JUBU,1
1/15/19,PH1,T1,SPSP,2
1/15/19,WT2,U0,JUBU,1
1/30/19,PH1,U2,POMO,2
1/30/19,PH1,U3,CYER,1
1/30/19,PH1,C2,POMO,2
1/30/19,WT2,T0,SPSP,1
1/30/19,RT,T0,POMO,1
1/30/19,MS,U3,SYSU,1
1/30/19,MS,T0,LYHY,1
1/30/19,MS,T1,JUBU,2
1/30/19,CS,T3,JUBU,1
1/30/19,CS,T1,JUBU,1
1/30/19,TP,T1,JUBU,1
1/30/19,TP,T2,SPSP,3
1/30/19,TP,T2,JUBU,5
1/30/19,TP,T3,JUBU,2
1/30/19,TP,T0,JUBU,1
1/30/19,RT,T1,POMO,1
1/30/19,RT,T3,JUBU,9
1/30/19,RT,T2,JUBU,1
1/30/19,WT2,T3,SPSP,3
1/30/19,WT2,T3,JUBU,1
1/30/19,WT2,T2,SPSP,2
1/30/19,WT2,T2,JUBU,1
1/30/19,WT2,T2,JUBU,3
1/30/19,WT1,T3,JUBU,2
1/30/19,WT1,T1,JUBU,3
1/30/19,WT1,T2,JUBU,1
1/30/19,PH1,T0,JUBU,1
1/30/19,PH1,T2,JUBU,2
1/30/19,PH1,T1,JUBU,2
1/22/19,MS,T0,SYSU,2
1/22/19,MS,T0,JUBU,1
1/22/19,MS,U2,LACO,1
1/22/19,MS,U3,PSLU,1
1/22/19,MS,U3,ERBO,1
1/22/19,WT2,U0,LACO,1
1/22/19,CS,U1,PSLU,2
1/22/19,MS,C1,ERBO,1
1/22/19,WT1,U2,ERBO,1
1/22/19,PH1,T3,POMO,1
1/22/19,PH1,U3,CYER,1
1/22/19,PH1,U1,FEPE,3
1/22/19,WT1,C1,LACO,1
1/22/19,PH1,U2,FEPE,1
1/22/19,WT1,T0,JUBU,2
1/22/19,WT1,T0,CYER,2
1/22/19,WT1,T0,LACO,1
1/22/19,WT2,T0,SPSP,1
1/22/19,WT2,T0,JUBU,1
1/22/19,WT2,T0,POMO,6
1/22/19,WT2,U0,BAPI,1
1/22/19,WT2,U0,POMO,4
1/22/19,RT,U0,POMO,7
1/22/19,RT,U0,JUBU,1
1/22/19,RT,U0,SPSP,2
1/22/19,RT,U0,ERBO,1
1/22/19,RT,T0,ERBO,1
1/22/19,RT,T0,POMO,5
1/22/19,RT,U1,FEPE,12
1/22/19,RT,U3,FEPE,1
1/22/19,TP,C1,JUBU,3
1/22/19,TP,C2,POMO,1
1/22/19,TP,U2,PSLU,1
1/22/19,CS,T0,LACO,1
1/22/19,CS,U0,FEPE,3
1/22/19,CS,U3,ERBO,1
1/22/19,CS,U1,LYAR,1
1/22/19,MS,T0,POMO,13
1/23/19,RT,T2,JUBU,9
1/23/19,MS,U1,STPU,1
1/23/19,MS,T3,ERBO,1
1/23/19,TP,T2,SPSP,1
1/23/19,TP,T3,JUBU,2
1/23/19,WT2,T2,SPSP,1
1/23/19,WT2,T2,POMO,1
1/23/19,WT2,T2,JUBU,2
1/23/19,WT2,U1,JUBU,1
1/23/19,WT1,T3,JUBU,1
1/23/19,WT1,T3,POMO,1
1/23/19,WT1,T2,JUBU,3
1/23/19,WT2,U3,SPSP,2
1/23/19,RT,T2,POMO,36
2/6/19,CS,U3,CETE,1
2/6/19,CS,U3,CETE,1
2/6/19,CS,T0,EUSE,1
2/6/19,MS,U2,SPSP,1
2/6/19,TP,U3,CETE,1
2/6/19,TP,C1,JUBU,1
2/6/19,RT,T0,SPSP,1
2/6/19,PH1,U2,CETE,1
2/6/19,WT1,T1,JUBU,1
2/6/19,WT2,U2,SPSP,1
2/6/19,WT2,U2,JUBU,1
2/6/19,MS,T1,JUBU,2
2/6/19,TP,T2,ERBO,1
2/6/19,TP,T2,JUBU,1
2/6/19,TP,T1,CETE,2
2/6/19,CS,C1,CETE,2
2/6/19,CS,T1,CETE,15
2/6/19,CS,T1,JUBU,1
2/6/19,TP,T0,JUBU,3
2/6/19,TP,T0,CETE,4
2/6/19,RT,T1,JUBU,3
2/6/19,WT2,T1,CETE,3
2/6/19,WT2,T2,CETE,1
2/6/19,WT1,T2,CETE,3
2/6/19,WT1,T3,CETE,46
2/6/19,WT1,T3,JUBU,2
2/12/19,MS,T3,JUBU,1
2/12/19,MS,T2,CYER,1
2/12/19,CS,C1,CYER,1
2/12/19,TP,U2,CETE,7
2/12/19,PH1,T1,CETE,1
2/12/19,PH1,T2,CETE,4
2/12/19,PH1,T3,CETE,61
2/12/19,WT2,T1,JUBU,1
2/12/19,WT2,T3,CETE,1
2/12/19,WT1,U3,CETE,13
2/12/19,PH1,U0,CETE,1
2/12/19,WT2,U3,SPSP,1
2/12/19,WT2,T1,CETE,9
2/12/19,RT,T3,JUBU,4
2/12/19,RT,C2,JUBU,1
2/12/19,RT,C1,JUBU,1
2/12/19,TP,T2,JUBU,3
2/12/19,CS,C3,JUBU,1
2/12/19,CS,C1,CRAQ,1
2/12/19,CS,C1,CETE,2
2/20/19,WT1,T3,JUBU,1
2/20/19,WT1,U2,SPSP,1
2/20/19,TP,T2,SPSP,1
2/20/19,WT1,T0,RASA,1
2/20/19,WT1,T0,MEPO,1
2/20/19,PH1,T3,LACO,1
2/20/19,TP,C1,CYDA,1
2/20/19,PH1,U3,RASA,1
2/20/19,PH1,U2,LACO,1
2/20/19,MS,T1,MESP,2
2/20/19,MS,T1,JUBU,1
2/20/19,TP,T2,SPSP,1
2/20/19,TP,T3,JUBU,3
2/20/19,WT2,U3,LACO,1
