Month,Year,Plot,Replicate,Species,percent_cover,abundance
DECEMBER,2016,PH1,U2,MEPO,1,1
DECEMBER,2016,PH1,C2,ELMA,98,100
DECEMBER,2016,PH1,C2,SOOL,1,2
DECEMBER,2016,PH1,C2,MALA,1,5
DECEMBER,2016,PH1,C2,EUSE,1,1
DECEMBER,2016,PH1,C2,BARE,2,5
DECEMBER,2016,PH1,C2,THATCH,10,50
DECEMBER,2016,PH1,C3,GEDI,1,2
DECEMBER,2016,PH1,C3,MEPO,1,1
DECEMBER,2016,PH1,C3,EUSE,2,4
DECEMBER,2016,PH1,C3,MALA,3,4
DECEMBER,2016,PH1,C3,ELMA,85,90
DECEMBER,2016,PH1,C3,BARE,10,15
DECEMBER,2016,PH1,C3,THATCH,10,12
DECEMBER,2016,PH1,T3,ELMA,60,70
DECEMBER,2016,PH1,T3,JUPA,7,7
DECEMBER,2016,PH1,T3,JUBU,30,35
DECEMBER,2016,PH1,T3,ERVA,25,30
DECEMBER,2016,PH1,T3,GEDI,1,1
DECEMBER,2016,PH1,T3,BARE,2,3
DECEMBER,2016,PH1,T3,THATCH,10,10
DECEMBER,2016,PH1,U3,STPU,80,100
DECEMBER,2016,PH1,U3,CAMA,10,25
DECEMBER,2016,PH1,U3,THATCH,10,10
DECEMBER,2016,PH1,U3,MALA,1,1
DECEMBER,2016,CS,U1,MEPO,1,10
DECEMBER,2016,CS,U1,MALA,1,7
DECEMBER,2016,CS,U1,STPU,8,10
DECEMBER,2016,CS,U1,EXCA,2,3
DECEMBER,2016,CS,U1,SYSU,1,9
DECEMBER,2016,CS,U1,BARE,82,82
DECEMBER,2016,CS,U2,ERSU,2,3
DECEMBER,2016,CS,U2,MALA,1,7
DECEMBER,2016,CS,U2,HOBRBR,8,25
DECEMBER,2016,CS,U2,EXCA,3,4
DECEMBER,2016,CS,U2,SYUS,1,6
DECEMBER,2016,CS,U2,BARE,85,85
DECEMBER,2016,CS,U3,STPU,1,2
DECEMBER,2016,CS,U3,HOBRBR,8,20
DECEMBER,2016,CS,U3,SYSU,1,2
DECEMBER,2016,CS,U3,BARE,90,90
DECEMBER,2016,CS,T1,CYER,10,45
DECEMBER,2016,CS,T1,SYSU,1,6
DECEMBER,2016,CS,T1,HOBRBR,3,9
DECEMBER,2016,CS,T1,ZEMU,1,1
DECEMBER,2016,CS,T1,BARE,83,83
DECEMBER,2016,CS,T1,MEPO,1,1
DECEMBER,2016,CS,T1,GEDI,1,1
DECEMBER,2016,CS,T3,CAPR,45,56
DECEMBER,2016,CS,T3,SYSU,2,15
DECEMBER,2016,CS,T3,FRSA,22,25
DECEMBER,2016,CS,T3,DISP,1,5
DECEMBER,2016,CS,T3,JUBU,1,1
DECEMBER,2016,CS,T3,BARE,35,35
DECEMBER,2016,CS,T2,DISP,60,70
DECEMBER,2016,CS,T2,SYSU,1,3
DECEMBER,2016,CS,T2,BARE,39,39
DECEMBER,2016,CS,C1,JUME,30,65
DECEMBER,2016,CS,C1,BARE,70,70
DECEMBER,2016,CS,C2,CYER,1,1
DECEMBER,2016,CS,C2,SOOL,1,1
DECEMBER,2016,CS,C2,ELMA,95,100
DECEMBER,2016,CS,C2,BARE,5,5
DECEMBER,2016,CS,C3,GEDI,1,7
DECEMBER,2016,CS,C3,SOOL,1,8
DECEMBER,2016,CS,C3,CYER,6,10
DECEMBER,2016,CS,C3,ELMA,10,20
DECEMBER,2016,CS,C3,MEPO,1,1
DECEMBER,2016,CS,C3,BARE,81,81
DECEMBER,2016,WT1,U2,SPSP,1,1
DECEMBER,2016,WT1,U2,STPU,100,100
DECEMBER,2016,WT1,T1,LACO,1,3
DECEMBER,2016,WT1,T1,HOBRBR,15,25
DECEMBER,2016,WT1,T1,CEPA,15,20
DECEMBER,2016,WT1,T1,JUBU,25,40
DECEMBER,2016,WT1,T1,SYSU,1,5
DECEMBER,2016,WT1,T1,ZEMU,2,8
DECEMBER,2016,WT1,v,SPSP,1,3
DECEMBER,2016,WT1,T1,BARE,40,40
DECEMBER,2016,WT1,U1,LENI,20,26
DECEMBER,2016,WT1,U1,STPU,25,33
DECEMBER,2016,WT1,U1,BARE,55,55
DECEMBER,2016,WT1,C1,LYHY,1,2
DECEMBER,2016,WT1,C1,SCPU,25,50
DECEMBER,2016,WT1,C1,ELMA,3,10
DECEMBER,2016,WT1,C1,BARE,71,71
DECEMBER,2016,WT1,C3,ELMA,100,100
DECEMBER,2016,WT1,C2,ELMA,95,100
DECEMBER,2016,WT1,C2,BARE,5,5
DECEMBER,2016,WT1,T3,POAVDE,1,2
DECEMBER,2016,WT1,T3,LYHY,1,1
DECEMBER,2016,WT1,T3,SPSP,1,1
DECEMBER,2016,WT1,T3,BAPI,1,1
DECEMBER,2016,WT1,T3,DISP,70,75
DECEMBER,2016,WT1,T3,SYSU,1,1
DECEMBER,2016,WT1,T3,ELMA,15,15
DECEMBER,2016,WT1,T3,THATCH,15,15
DECEMBER,2016,WT1,T2,BOMA,80,100
DECEMBER,2016,WT1,T2,DISP,20,30
DECEMBER,2016,WT1,T2,BARE,3,3
DECEMBER,2016,WT1,U3,STPU,25,50
DECEMBER,2016,WT1,U3,ATSE,1,2
DECEMBER,2016,WT1,U3,FRSA,1,1
DECEMBER,2016,WT1,U3,SATR,1,5
DECEMBER,2016,WT1,U3,CEPA,5,10
DECEMBER,2016,WT1,U3,BARE,77,77
DECEMBER,2016,WT2,U1,STPU,25,40
DECEMBER,2016,WT2,U1,CEPA,3,5
DECEMBER,2016,WT2,U1,BARE,72,72
DECEMBER,2016,WT2,T1,CYER,1,2
DECEMBER,2016,WT2,T1,JUME,55,60
DECEMBER,2016,WT2,T1,JUBU,13,15
DECEMBER,2016,WT2,T1,HOBRBR,1,1
DECEMBER,2016,WT2,T1,CEPA,1,1
DECEMBER,2016,WT2,T1,CEPR,2,2
DECEMBER,2016,WT2,T1,LYHY,1,1
DECEMBER,2016,WT2,C2,JUPH,30,30
DECEMBER,2016,WT2,C2,BARE,70,70
DECEMBER,2016,WT2,C1,ELMA,75,75
DECEMBER,2016,WT2,C1,BARE,25,25
DECEMBER,2016,WT2,T2,POAVDE,1,2
DECEMBER,2016,WT2,T2,LYHY,1,2
DECEMBER,2016,WT2,T2,CRSE,1,4
DECEMBER,2016,WT2,T2,CEPA,7,11
DECEMBER,2016,WT2,T2,JUME,15,25
DECEMBER,2016,WT2,T2,CAPR,4,9
DECEMBER,2016,WT2,T2,JUBU,40,40
DECEMBER,2016,WT2,T2,CYER,1,1
DECEMBER,2016,WT2,T2,SYSU,1,3
DECEMBER,2016,WT2,T2,BARE,32,32
DECEMBER,2016,WT2,U2,SATR,1,1
DECEMBER,2016,WT2,U2,STPU,10,13
DECEMBER,2016,WT2,U2,SPSP,1,4
DECEMBER,2016,WT2,U2,BARE,88,88
DECEMBER,2016,WT2,T3,CYER,10,20
DECEMBER,2016,WT2,T3,JUPA,7,10
DECEMBER,2016,WT2,T3,JUTE,1,2
DECEMBER,2016,WT2,T3,JUBU,40,60
DECEMBER,2016,WT2,T3,CEPA,15,35
DECEMBER,2016,WT2,T3,SIBE,1,2
DECEMBER,2016,WT2,T3,ZEMU,1,2
DECEMBER,2016,WT2,T3,BARE,15,15
DECEMBER,2016,WT2,U3,STPU,10,20
DECEMBER,2016,WT2,U3,SYSU,1,3
DECEMBER,2016,WT2,U3,CEPA,1,2
DECEMBER,2016,WT2,U3,LACO,1,1
DECEMBER,2016,WT2,U3,BARE,86,86
DECEMBER,2016,WT2,U3,EXCA,1,1
DECEMBER,2016,WT2,C3,ELMA,97,100
DECEMBER,2016,WT2,C3,BARE,3,3
DECEMBER,2016,WT2,C1,JUPH,80,95
DECEMBER,2016,WT2,C1,BARE,20,30
DECEMBER,2016,WT2,C2,ELMA,20,70
DECEMBER,2016,WT2,C2,BARE,80,100
DECEMBER,2016,WT2,C3,DISP,10,50
DECEMBER,2016,WT2,C3,ELMA,35,60
DECEMBER,2016,WT2,C3,BARE,65,65
DECEMBER,2016,WT2,T3,CYER,22,40
DECEMBER,2016,WT2,T3,HOBRBR,20,30
DECEMBER,2016,WT2,T3,JUBU,25,30
DECEMBER,2016,WT2,T3,EPBR,1,1
DECEMBER,2016,WT2,T3,BARE,32,40
DECEMBER,2016,WT2,U3,SIBE,3,5
DECEMBER,2016,WT2,U3,HOBRBR,25,40
DECEMBER,2016,WT2,U3,BARE,72,90
DECEMBER,2016,WT2,U2,EPBR,1,5
DECEMBER,2016,WT2,U2,STPU,50,70
DECEMBER,2016,WT2,U2,BARE,49,70
DECEMBER,2016,WT2,T2,SIBE,6,8
DECEMBER,2016,WT2,T2,EPBR,10,50
DECEMBER,2016,WT2,T2,JUBU,55,60
DECEMBER,2016,WT2,T2,CYER,2,6
DECEMBER,2016,WT2,T2,LYHY,1,3
DECEMBER,2016,WT2,T2,BARE,30,40
DECEMBER,2016,WT2,T2,SPSP,2,3
DECEMBER,2016,WT2,T1,CYER,15,30
DECEMBER,2016,WT2,T1,HOBRBR,4,6
DECEMBER,2016,WT2,T1,DISP,8,15
DECEMBER,2016,WT2,T1,RUSA,2,3
DECEMBER,2016,WT2,T1,BARE,70,80
DECEMBER,2016,WT2,T1,SYSU,1,4
DECEMBER,2016,WT2,T1,SIBE,15,20
DECEMBER,2016,WT2,T1,MEPO,1,8
DECEMBER,2016,WT2,T1,LUSU,1,3
DECEMBER,2016,WT2,T1,STPU,13,25
DECEMBER,2016,WT2,T1,EPBR,1,5
DECEMBER,2016,WT2,T1,BARE,49,70
DECEMBER,2016,WT2,T1,THATCH,20,30
DECEMBER,2016,WT2,T1,DISP,25,45
DECEMBER,2016,WT2,T1,EPBR,3,30
DECEMBER,2016,WT2,T1,LUSU,1,1
DECEMBER,2016,WT2,T1,JUBU,2,5
DECEMBER,2016,WT2,T1,JUPA,1,3
DECEMBER,2016,WT2,T1,STPU,1,1
DECEMBER,2016,WT2,T1,SYSU,1,1
DECEMBER,2016,WT2,T1,RUSA,1,2
DECEMBER,2016,WT2,T1,BARE,65,70
DECEMBER,2016,WT2,U1,STPU,17,30
DECEMBER,2016,WT2,U1,EPBR,1,12
DECEMBER,2016,WT2,U1,LUSU,1,1
DECEMBER,2016,WT2,U1,BARE,81,80
DECEMBER,2016,WT2,C1,JUPH,75,90
DECEMBER,2016,WT2,C1,ELMA,5,25
DECEMBER,2016,WT2,C1,BARE,20,20
DECEMBER,2016,WT2,C2,JUPH,65,70
DECEMBER,2016,WT2,C2,ELMA,8,30
DECEMBER,2016,WT2,C2,BARE,35,40
DECEMBER,2016,WT2,C3,JUPH,50,50
DECEMBER,2016,WT2,C3,BARE,50,50
DECEMBER,2016,WT2,T3,DISP,40,85
DECEMBER,2016,WT2,T3,JUBU,27,35
DECEMBER,2016,WT2,T3,SYSU,1,3
DECEMBER,2016,WT2,T3,CEPA,1,2
DECEMBER,2016,WT2,T2,ASFA,1,1
DECEMBER,2016,WT2,T2,RUSA,3,3
DECEMBER,2016,WT2,T2,SYSU,1,5
DECEMBER,2016,WT2,T2,JUBU,27,30
DECEMBER,2016,WT2,T2,JUPA,1,1
DECEMBER,2016,WT2,T2,LUSU,1,1
DECEMBER,2016,WT2,T2,CEPA,1,2
DECEMBER,2016,WT2,T2,CYER,1,1
DECEMBER,2016,WT2,T2,EUSE,1,1
DECEMBER,2016,WT2,T2,BARE,64,70
DECEMBER,2016,WT2,T2,UNK GRASS,25,45
DECEMBER,2016,WT2,U2,EPCA,10,30
DECEMBER,2016,WT2,U2,STPU,15,25
DECEMBER,2016,WT2,U2,EPBR,2,10
DECEMBER,2016,WT2,U2,LUSU,1,1
DECEMBER,2016,WT2,U2,BARE,72,80
DECEMBER,2016,WT2,U3,STPU,30,50
DECEMBER,2016,WT2,U3,LUSU,1,1
DECEMBER,2016,WT2,U3,THATCH,68,70
DECEMBER,2016,WT2,U3,BARE,1,10
DECEMBER,2016,WT2,U3,EPBR,1,8
DECEMBER,2016,WT2,U2,VISA,1,3
DECEMBER,2016,WT2,U2,ELGL,2,6
DECEMBER,2016,WT2,U2,FEPE,1,1
DECEMBER,2016,WT2,U2,MESP,1,2
DECEMBER,2016,WT2,U2,BARE,95,100
DECEMBER,2016,WT2,U3,MEIM/STPU,1,8
DECEMBER,2016,WT2,U3,BARE,100,100
DECEMBER,2016,WT2,C1,WATER,100,100
DECEMBER,2016,WT2,C2,WATER,100,100
DECEMBER,2016,WT2,C3,WATER,100,100
DECEMBER,2016,WT2,C3,JUPH,25,30
DECEMBER,2016,WT2,T1,POAVDE,1,2
DECEMBER,2016,WT2,T1,ELMA,1,12
DECEMBER,2016,WT2,T1,CYER,1,3
DECEMBER,2016,WT2,T1,FEPE,1,1
DECEMBER,2016,WT2,T1,BARE,100,100
DECEMBER,2016,WT2,T2,PLLA,1,1
DECEMBER,2016,WT2,T2,BARE,100,100
DECEMBER,2016,WT2,T2,RUCR,1,3
DECEMBER,2016,WT2,T2,LYAR,1,3
DECEMBER,2016,WT2,T2,FEPE,1,4
DECEMBER,2016,WT2,T3,CEPA,1,8
DECEMBER,2016,WT2,T3,ERAR,1,1
DECEMBER,2016,WT2,T3,MESP,1,2
DECEMBER,2016,WT2,T3,POMO,3,12
DECEMBER,2016,WT2,T3,CYER,1,3
DECEMBER,2016,WT2,T3,JUPA,3,5
DECEMBER,2016,WT2,T3,ELMA,1,4
DECEMBER,2016,WT2,T3,ISCE,4,4
DECEMBER,2016,WT2,T3,JUBU,1,3
DECEMBER,2016,WT2,T3,DISP,2,7
DECEMBER,2016,WT2,T3,BARE,82,100
DECEMBER,2016,WT2,U1,FEPE,1,7
DECEMBER,2016,WT2,U1,STPU,15,30
DECEMBER,2016,WT2,U1,SOOL,1,1
DECEMBER,2016,WT2,U1,OXCA,2,6
DECEMBER,2016,WT2,U1,BARE,81,100
JANUARY,2017,TP,U3,HOBRBR,40,100
JANUARY,2017,TP,U3,SIBE,1,8
JANUARY,2017,TP,U3,EPBR,1,3
JANUARY,2017,TP,U3,SOOL,1,5
JANUARY,2017,TP,U3,LACO,1,1
JANUARY,2017,TP,U3,FEPE,1,3
JANUARY,2017,TP,U3,LUSU,1,1
JANUARY,2017,TP,U3,ESCA,1,1
JANUARY,2017,TP,U3,MEPO,1,2
JANUARY,2017,TP,U3,BARE,52,100
JANUARY,2017,TP,T2,CYER,1,2
JANUARY,2017,TP,T2,SIBE,1,3
JANUARY,2017,TP,T2,LYHY,1,1
JANUARY,2017,TP,T2,SOOL,1,1
JANUARY,2017,TP,T2,EPBR,4,15
JANUARY,2017,TP,T2,ERCA,1,1
JANUARY,2017,TP,T2,SYSU,1,1
JANUARY,2017,TP,T2,WATER,90,100
JANUARY,2017,TP,T3,CYER,5,20
JANUARY,2017,TP,T3,HOBRBR,2,15
JANUARY,2017,TP,T3,WATER,95,100
JANUARY,2017,TP,U2,STPU,45,95
JANUARY,2017,TP,U2,SOOL,1,1
JANUARY,2017,TP,U2,EPBR,1,20
JANUARY,2017,TP,U2,SIBE,1,1
JANUARY,2017,TP,U2,FEPE,1,10
JANUARY,2017,TP,U2,MEPO,1,1
JANUARY,2017,TP,U2,BARE,40,90
JANUARY,2017,TP,U1,STPU,23,80
JANUARY,2017,TP,U1,SIBE,11,29
JANUARY,2017,TP,U1,LUSU,2,7
JANUARY,2017,TP,U1,EPBR,1,7
JANUARY,2017,TP,U1,FEPE,2,10
JANUARY,2017,TP,U1,MEPO,1,5
JANUARY,2017,TP,U1,SOOL,1,3
JANUARY,2017,TP,U1,HEEC,1,1
JANUARY,2017,TP,U1,BARE,60,96
JANUARY,2017,TP,T1,WATER,100,100
JANUARY,2017,TP,C1,WATER,100,100
JANUARY,2017,TP,C2,WATER,100,100
JANUARY,2017,TP,C3,WATER,100,100
JANUARY,2017,MS,U1,OXCA,3,11
JANUARY,2017,MS,U1,STPU,15,30
JANUARY,2017,MS,U1,FEPE,1,10
JANUARY,2017,MS,U1,BARE,100,98
JANUARY,2017,MS,U2,VIVI,1,10
JANUARY,2017,MS,U2,FEPE,1,2
JANUARY,2017,MS,U2,ELGL,1,5
JANUARY,2017,MS,U2,BARE,100,100
JANUARY,2017,MS,U3,MEIM/STPU,1,3
JANUARY,2017,MS,U3,BARE,100,100
JANUARY,2017,MS,T1,WATER,100,100
JANUARY,2017,MS,T2,WATER,100,100
JANUARY,2017,MS,T3,WATER,100,100
JANUARY,2017,MS,C1,WATER,100,100
JANUARY,2017,MS,C2,WATER,100,100
JANUARY,2017,MS,C3,WATER,100,100
JANUARY,2017,RT,U1,SEVU,1,2
JANUARY,2017,RT,U1,STPU,30,40
JANUARY,2017,RT,U1,FEPE,4,50
JANUARY,2017,RT,U1,SOOL,1,3
JANUARY,2017,RT,U1,SPSP,1,1
JANUARY,2017,RT,U1,BRDI,1,1
JANUARY,2017,RT,U1,MAPA,1,1
JANUARY,2017,RT,U1,BARE,70,95
JANUARY,2017,RT,T1,DISP,37,45
JANUARY,2017,RT,T1,RUSA,1,3
JANUARY,2017,RT,T1,JUPA,1,2
JANUARY,2017,RT,T1,STPU,1,3
JANUARY,2017,RT,T1,POMO,1,3
JANUARY,2017,RT,T1,EPBR,1,7
JANUARY,2017,RT,T1,LUSU,1,1
JANUARY,2017,RT,T1,BARE,50,50
JANUARY,2017,RT,T1,WATER,20,20
JANUARY,2017,RT,T1,CYER,1,1
JANUARY,2017,RT,U3,VIVI,1,3
JANUARY,2017,RT,U3,MAPA,1,2
JANUARY,2017,RT,U3,SEVU,1,1
JANUARY,2017,RT,U3,EPBR,1,2
JANUARY,2017,RT,U3,COFI,1,1
JANUARY,2017,RT,U3,STPU,46,95
JANUARY,2017,RT,U3,BRSP,5,14
JANUARY,2017,RT,U3,LUSU,1,2
JANUARY,2017,RT,U3,BARE,2,10
JANUARY,2017,RT,U3,THATCH,16,90
JANUARY,2017,RT,U2,STPU,30,35
JANUARY,2017,RT,U2,FEPE,3,10
JANUARY,2017,RT,U2,SEVU,1,2
JANUARY,2017,RT,U2,SOOL,1,2
JANUARY,2017,RT,U2,LUSU,1,2
JANUARY,2017,RT,U2,EPCA,20,39
JANUARY,2017,RT,U2,BARE,35,90
JANUARY,2017,RT,U2,ESCA,1,1
JANUARY,2017,RT,U2,SIBE,1,1
JANUARY,2017,RT,T3,DISP,15,15
JANUARY,2017,RT,T3,WATER,85,100
JANUARY,2017,RT,T2,JUPA,1,1
JANUARY,2017,RT,T2,RUSA,2,2
JANUARY,2017,RT,T2,WATER,97,100
JANUARY,2017,RT,C1,WATER,100,100
JANUARY,2017,RT,C2,WATER,100,100
JANUARY,2017,RT,C3,WATER,100,100
JANUARY,2017,PH1,U1,ERCO,2,4
JANUARY,2017,PH1,U1,SIBE,1,2
JANUARY,2017,PH1,U1,STPU,38,50
JANUARY,2017,PH1,U1,MEPO,1,5
JANUARY,2017,PH1,U1,GEDI,1,2
JANUARY,2017,PH1,U1,SOOL,1,1
JANUARY,2017,PH1,U1,FEPE,40,60
JANUARY,2017,PH1,U1,BARE,15,50
JANUARY,2017,PH1,U1,HEEC,1,1
JANUARY,2017,PH1,U1,JUME,1,1
JANUARY,2017,PH1,U2,SIBE,50,100
JANUARY,2017,PH1,U2,STPU,9,13
JANUARY,2017,PH1,U2,VIVI,1,1
JANUARY,2017,PH1,U2,EXCA,5,17
JANUARY,2017,PH1,U2,RUCR,1,1
JANUARY,2017,PH1,U2,HEEC,1,3
JANUARY,2017,PH1,U2,SOOL,1,3
JANUARY,2017,PH1,U2,GEDI,1,3
JANUARY,2017,PH1,U2,HOBRBR,6,12
JANUARY,2017,PH1,U2,BRSP,1,4
JANUARY,2017,PH1,U2,WATER,2,2
JANUARY,2017,PH1,U2,BARE,25,30
JANUARY,2017,PH1,U3,GEDI,1,2
JANUARY,2017,PH1,U3,STPU,100,100
JANUARY,2017,PH1,U3,CAMA,7,27
JANUARY,2017,PH1,U3,MALA,1,1
JANUARY,2017,PH1,U3,BRSP,2,8
JANUARY,2017,PH1,U3,ESCA,1,1
JANUARY,2017,PH1,U3,THATCH,25,30
JANUARY,2017,PH1,U3,FEPE,2,7
JANUARY,2017,PH1,T1,WATER,100,100
JANUARY,2017,PH1,T2,WATER,100,100
JANUARY,2017,PH1,T3,WATER,100,100
JANUARY,2017,PH1,C1,WATER,100,100
JANUARY,2017,PH1,C2,WATER,100,100
JANUARY,2017,PH1,C3,WATER,100,100
JANUARY,2017,CS,U1,EXCA,1,5
JANUARY,2017,CS,U1,STPU,15,20
JANUARY,2017,CS,U1,SOOL,1,1
JANUARY,2017,CS,U1,MEPO,1,5
JANUARY,2017,CS,U3,STPU,1,4
JANUARY,2017,CS,U3,HOBRBR,25,67
JANUARY,2017,CS,U3,BARE,75,100
JANUARY,2017,CS,T3,FRSA,20,25
JANUARY,2017,CS,T3,DISP,1,3
JANUARY,2017,CS,T3,CAPR,15,40
JANUARY,2017,CS,T3,WATER,65,70
JANUARY,2017,CS,T3,BARE,2,5
JANUARY,2017,CS,U2,EXCA,3,6
JANUARY,2017,CS,U2,HOBRBR,25,62
JANUARY,2017,CS,U2,MALA,1,2
JANUARY,2017,CS,U2,ERSU,1,3
JANUARY,2017,CS,U2,SOOL,1,1
JANUARY,2017,CS,U2,MAPA,1,2
JANUARY,2017,CS,U2,BARE,70,80
JANUARY,2017,WT2,U1,STPU,40,50
JANUARY,2017,WT2,U1,MAPA,1,1
JANUARY,2017,WT2,U1,GEDI,1,1
JANUARY,2017,WT2,U1,THATCH,25,30
JANUARY,2017,WT2,U1,BARE,33,40
JANUARY,2017,WT2,U2,STPU,90,100
JANUARY,2017,WT2,U2,BARE,6,10
JANUARY,2017,WT2,U2,FEPE,10,25
JANUARY,2017,WT2,U3,STPU,35,50
JANUARY,2017,WT2,U3,BARE,65,80
JANUARY,2017,WT2,U3,WATER,100,100
JANUARY,2017,WT2,T1,WATER,100,100
JANUARY,2017,WT2,T2,WATER,100,100
JANUARY,2017,WT2,T3,WATER,100,100
JANUARY,2017,WT2,C1,WATER,100,100
JANUARY,2017,WT2,C2,WATER,100,100
JANUARY,2017,WT2,C3,WATER,100,100
JANUARY,2017,WT1,U1,STPU,20,30
JANUARY,2017,WT1,U1,BARE,80,90
JANUARY,2017,WT1,U2,HOBRBR,8,10
JANUARY,2017,WT1,U2,WATER,100,100
JANUARY,2017,WT1,T3,JUBU,1,1
JANUARY,2017,WT1,T3,MEPO,1,1
JANUARY,2017,WT1,T3,CYER,1,4
JANUARY,2017,WT1,T3,JUPA,4,8
JANUARY,2017,WT1,T3,WATER,90,95
JANUARY,2017,WT1,T3,BARE,10,10
JANUARY,2017,WT1,U3,STPU,8,10
JANUARY,2017,WT1,U3,ERCA,1,1
JANUARY,2017,WT1,U3,MEPO,1,1
JANUARY,2017,WT1,U3,EXCA,1,1
JANUARY,2017,WT1,U3,VELA,1,2
JANUARY,2017,WT1,U3,BARE,90,100
JANUARY,2017,WT1,T2,WATER,100,100
JANUARY,2017,WT1,T1,WATER,100,100
JANUARY,2017,WT1,C1,WATER,100,100
JANUARY,2017,WT1,C2,WATER,100,100
JANUARY,2017,WT1,C3,WATER,100,100
FEBRUARY,2017,CS,T1,WATER,100,100
FEBRUARY,2017,CS,T2,WATER,100,100
FEBRUARY,2017,CS,T3,CAPR,20,40
FEBRUARY,2017,CS,T3,FRSA,7,25
FEBRUARY,2017,CS,T3,DISP,2,10
FEBRUARY,2017,CS,T3,WATER,95,95
FEBRUARY,2017,CS,U1,STPU,11,33
FEBRUARY,2017,CS,U1,EXCA,2,6
FEBRUARY,2017,CS,U1,MEPO,1,5
FEBRUARY,2017,CS,U1,SOOL,1,1
FEBRUARY,2017,CS,U1,LYHY,1,3
FEBRUARY,2017,CS,U1,MALE,1,3
FEBRUARY,2017,CS,U1,POAVDE,1,1
FEBRUARY,2017,CS,U1,BARE,85,90
FEBRUARY,2017,CS,U2,EXCA,6,10
FEBRUARY,2017,CS,U2,HOBRBR,20,30
FEBRUARY,2017,CS,U2,MALE,1,1
FEBRUARY,2017,CS,U2,BARE,75,85
FEBRUARY,2017,CS,U3,STPU,1,2
FEBRUARY,2017,CS,U3,HOBRBR,18,75
FEBRUARY,2017,CS,U3,BARE,81,85
FEBRUARY,2017,CS,C1,WATER,100,100
FEBRUARY,2017,CS,C2,WATER,100,100
FEBRUARY,2017,CS,C3,WATER,100,100
FEBRUARY,2017,MS,U1,OXCA,2,12
FEBRUARY,2017,MS,U1,STPU,25,36
FEBRUARY,2017,MS,U1,FEPE,1,6
FEBRUARY,2017,MS,U1,BARE,75,75
FEBRUARY,2017,MS,U2,VIVI,1,6
FEBRUARY,2017,MS,U2,ELGL,1,5
FEBRUARY,2017,MS,U2,FEPE,1,4
FEBRUARY,2017,MS,U2,BARE,99,99
FEBRUARY,2017,MS,U3,UNKOWN GRASS,1,5
FEBRUARY,2017,MS,U3,BARE,100,100
FEBRUARY,2017,MS,T1,WATER,100,100
FEBRUARY,2017,MS,T2,WATER,100,100
FEBRUARY,2017,MS,T3,WATER,100,100
FEBRUARY,2017,MS,U1,WATER,100,100
FEBRUARY,2017,MS,U2,WATER,100,100
FEBRUARY,2017,MS,U3,WATER,100,100
FEBRUARY,2017,PH1,T1,ELMA,30,70
FEBRUARY,2017,PH1,T1,GEDI,1,5
FEBRUARY,2017,PH1,T1,FRSA,1,3
FEBRUARY,2017,PH1,T1,WATER,96,100
FEBRUARY,2017,PH1,T1,BARE,2,3
FEBRUARY,2017,PH1,T1,HEEC,1,1
FEBRUARY,2017,PH1,T2,JUPA,45,45
FEBRUARY,2017,PH1,T2,ELMA,10,30
FEBRUARY,2017,PH1,T2,WATER,60,90
FEBRUARY,2017,PH1,T3,JUPA,6,10
FEBRUARY,2017,PH1,T3,ELMA,30,90
FEBRUARY,2017,PH1,T3,WATER,94,100
